,Date,fips,cases,deaths,High,Low,Open,Close,Volume,Adj Close
0,2020-01-21,53,1,0,3329.7900390625,3316.610107421875,3321.030029296875,3320.7900390625,4105340000,3320.7900390625
1,2020-01-22,53,1,0,3337.77001953125,3320.0400390625,3330.02001953125,3321.75,3619850000,3321.75
2,2020-01-23,53,1,0,3326.8798828125,3301.8701171875,3315.77001953125,3325.5400390625,3764860000,3325.5400390625
3,2020-01-24,70,2,0,3333.179931640625,3281.530029296875,3333.10009765625,3295.469970703125,3707130000,3295.469970703125
4,2020-01-27,80,5,0,3258.85009765625,3234.5,3247.159912109375,3243.6298828125,3823100000,3243.6298828125
5,2020-01-28,80,5,0,3285.780029296875,3253.219970703125,3255.35009765625,3276.239990234375,3526720000,3276.239990234375
6,2020-01-29,80,5,0,3293.469970703125,3271.889892578125,3289.4599609375,3273.39990234375,3584500000,3273.39990234375
7,2020-01-30,80,6,0,3285.909912109375,3242.800048828125,3256.449951171875,3283.659912109375,3787250000,3283.659912109375
8,2020-01-31,80,7,0,3282.330078125,3214.679931640625,3282.330078125,3225.52001953125,4527830000,3225.52001953125
9,2020-02-03,105,11,0,3268.43994140625,3235.659912109375,3235.659912109375,3248.919921875,3757910000,3248.919921875
10,2020-02-04,105,11,0,3306.919921875,3280.610107421875,3280.610107421875,3297.590087890625,3995320000,3297.590087890625
11,2020-02-05,160,12,0,3337.580078125,3313.75,3324.909912109375,3334.68994140625,4117730000,3334.68994140625
12,2020-02-06,160,12,0,3347.9599609375,3334.389892578125,3344.919921875,3345.780029296875,3868370000,3345.780029296875
13,2020-02-07,160,12,0,3341.419921875,3322.1201171875,3335.5400390625,3327.7099609375,3730650000,3327.7099609375
14,2020-02-10,160,13,0,3352.260009765625,3317.77001953125,3318.280029296875,3352.090087890625,3450350000,3352.090087890625
15,2020-02-11,160,13,0,3375.6298828125,3352.719970703125,3365.8701171875,3357.75,3760550000,3357.75
16,2020-02-12,208,14,0,3381.469970703125,3369.719970703125,3370.5,3379.449951171875,3926380000,3379.449951171875
17,2020-02-13,208,15,0,3385.090087890625,3360.52001953125,3365.89990234375,3373.93994140625,3498240000,3373.93994140625
18,2020-02-14,208,15,0,3380.68994140625,3366.14990234375,3378.080078125,3380.159912109375,3398040000,3380.159912109375
19,2020-02-18,239,25,0,3375.010009765625,3355.610107421875,3369.0400390625,3370.2900390625,3746720000,3370.2900390625
20,2020-02-19,239,25,0,3393.52001953125,3378.830078125,3380.389892578125,3386.14990234375,3600150000,3386.14990234375
21,2020-02-20,239,27,0,3389.14990234375,3341.02001953125,3380.449951171875,3373.22998046875,4007320000,3373.22998046875
22,2020-02-21,239,30,0,3360.760009765625,3328.449951171875,3360.5,3337.75,3899270000,3337.75
23,2020-02-24,239,43,0,3259.81005859375,3214.64990234375,3257.610107421875,3225.889892578125,4842960000,3225.889892578125
24,2020-02-25,288,45,0,3246.989990234375,3118.77001953125,3238.93994140625,3128.2099609375,5591510000,3128.2099609375
25,2020-02-26,288,60,0,3182.510009765625,3108.989990234375,3139.89990234375,3116.389892578125,5478110000,3116.389892578125
26,2020-02-27,288,60,0,3097.070068359375,2977.389892578125,3062.5400390625,2978.760009765625,7058840000,2978.760009765625
