,season,year,week,age_0_4,age_5_24,age_25_49,age_25_64,age_50_64,age_65,ilitotal,total_patients,num_of_providers,unweighted_ili,weighted_ili,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-09,2009,1,3245,2548,,2606.0,,557,8956,579428,1539,0.015456600000000001,0.0147138,2009-01-08,905.7299800000001,910.0,896.8099980000001,909.7299800000001,909.7299800000001,4991550000
1,2008-09,2009,2,3142,3345,,2329.0,,473,9289,565631,1512,0.0164224,0.0161555,2009-01-15,841.98999,851.590027,817.039978,843.73999,843.73999,7807350000
2,2008-09,2009,3,3602,4597,,2821.0,,436,11456,582932,1566,0.0196524,0.0195333,2009-01-22,839.73999,839.73999,811.289978,827.5,827.5,5843830000
3,2008-09,2009,4,4039,6602,,3215.0,,468,14324,611176,1554,0.0234368,0.024290700000000002,2009-01-29,868.8900150000001,868.8900150000001,844.150024,845.1400150000001,845.1400150000001,5067060000
4,2008-09,2009,5,4606,8882,,4240.0,,540,18268,638613,1580,0.0286057,0.029668599999999996,2009-02-05,831.75,850.5499880000001,819.909973,845.849976,845.849976,6624030000
5,2008-09,2009,6,5064,11215,,4636.0,,752,21667,648304,1569,0.033421,0.03573540000000001,2009-02-12,829.909973,835.47998,808.0599980000001,835.1900019999999,835.1900019999999,6476460000
6,2008-09,2009,7,4848,9851,,4685.0,,638,20022,624583,1543,0.0320566,0.0336653,2009-02-19,787.909973,797.580017,777.030029,778.9400019999999,778.9400019999999,5746940000
7,2008-09,2009,8,4694,10092,,5007.0,,657,20450,659573,1544,0.031004900000000002,0.032962,2009-02-26,765.76001,779.419983,751.75,752.830017,752.830017,7599970000
8,2008-09,2009,9,4420,9116,,4272.0,,633,18441,623389,1534,0.0295819,0.031722700000000006,2009-03-05,708.27002,708.27002,677.929993,682.549988,682.549988,7507250000
9,2008-09,2009,10,4046,7446,,3601.0,,618,15711,637672,1524,0.024638099999999996,0.025804,2009-03-12,720.8900150000001,752.630005,714.76001,750.73999,750.73999,7326630000
10,2008-09,2009,11,3657,6036,,3002.0,,582,13277,605503,1494,0.0219272,0.0242922,2009-03-19,797.919983,803.23999,781.820007,784.039978,784.039978,9033870000
11,2008-09,2009,12,3237,5052,,2661.0,,450,11400,608342,1470,0.018739500000000003,0.0199028,2009-03-26,814.0599980000001,832.97998,814.0599980000001,832.8599849999999,832.8599849999999,6992960000
12,2008-09,2009,13,2829,4283,,2158.0,,399,9669,586651,1440,0.016481700000000002,0.0172423,2009-04-02,814.530029,845.6099849999999,814.530029,834.380005,834.380005,7542810000
13,2008-09,2009,14,2577,3407,,2085.0,,391,8460,564460,1422,0.014987799999999999,0.016035499999999998,2009-04-09,829.289978,856.909973,829.289978,856.5599980000001,856.5599980000001,7600710000
14,2008-09,2009,15,2371,2761,,1727.0,,363,7222,558837,1415,0.0129233,0.0128418,2009-04-16,854.5399779999999,870.349976,847.0399779999999,865.2999880000001,865.2999880000001,6598670000
15,2008-09,2009,16,2353,2855,,1743.0,,397,7348,577836,1445,0.012716400000000001,0.012931999999999999,2009-04-23,844.6199949999999,852.8699949999999,835.450012,851.919983,851.919983,6563100000
16,2008-09,2009,17,4821,8043,,5093.0,,670,18627,624734,1405,0.0298159,0.0274012,2009-04-30,876.590027,888.7000119999999,868.51001,872.8099980000001,872.8099980000001,6862540000
17,2008-09,2009,18,3920,6221,,3875.0,,562,14578,598189,1422,0.024370199999999998,0.022239099999999998,2009-05-07,919.580017,929.580017,901.3599849999999,907.3900150000001,907.3900150000001,9120100000
18,2008-09,2009,19,3236,5888,,3018.0,,412,12554,550300,1372,0.022813,0.0176657,2009-05-14,884.23999,898.3599849999999,882.5200199999999,893.070007,893.070007,6134870000
