,season,year,week,age_0_4,age_5_24,age_25_49,age_25_64,age_50_64,age_65,ilitotal,total_patients,num_of_providers,unweighted_ili,weighted_ili,Date,Open,High,Low,Close,Adj Close,Volume
11,2008-09,2009,12,3237,5052,,2661.0,,450,11400,608342,1470,0.018739500000000003,0.0199028,2009-03-26,7752.359863,7931.330078,7752.279785,7924.560059,7924.560059,397260000
12,2008-09,2009,13,2829,4283,,2158.0,,399,9669,586651,1440,0.016481700000000002,0.0172423,2009-04-02,7763.990234000001,8075.72998,7763.990234000001,7978.080078,7978.080078,442820000
13,2008-09,2009,14,2577,3407,,2085.0,,391,8460,564460,1422,0.014987799999999999,0.016035499999999998,2009-04-09,7839.890137,8087.279785,7839.890137,8083.379883,8083.379883,462060000
14,2008-09,2009,15,2371,2761,,1727.0,,363,7222,558837,1415,0.0129233,0.0128418,2009-04-16,8029.140137,8168.120117,7962.709961,8125.430176000001,8125.430176000001,359470000
15,2008-09,2009,16,2353,2855,,1743.0,,397,7348,577836,1445,0.012716400000000001,0.012931999999999999,2009-04-23,7886.810059,7979.439941,7804.209961,7957.060059,7957.060059,327240000
16,2008-09,2009,17,4821,8043,,5093.0,,670,18627,624734,1405,0.0298159,0.0274012,2009-04-30,8188.509765999999,8307.509766,8136.899901999999,8168.120117,8168.120117,341400000
17,2008-09,2009,18,3920,6221,,3875.0,,562,14578,598189,1422,0.024370199999999998,0.022239099999999998,2009-05-07,8512.280273,8577.19043,8358.0,8409.849609,8409.849609,476640000
18,2008-09,2009,19,3236,5888,,3018.0,,412,12554,550300,1372,0.022813,0.0176657,2009-05-14,8285.919922,8376.639648,8273.900391,8331.320313,8331.320313,323800000
19,2008-09,2009,20,4188,12026,,4136.0,,424,20774,544432,1331,0.038157199999999995,0.0192171,2009-05-21,8416.070313,8416.150391,8221.009766,8292.129883,8292.129883,302280000
20,2008-09,2009,21,4496,12461,,4950.0,,487,22394,531526,1314,0.0421315,0.018611000000000003,2009-05-28,8300.5,8434.620117,8246.580078,8403.799805,8403.799805,290730000
21,2008-09,2009,22,3865,8615,,4213.0,,412,17105,538177,1305,0.0317832,0.0168423,2009-06-04,8675.280273,8751.25,8634.570313,8750.240234,8750.240234,237800000
22,2008-09,2009,23,3072,5660,,3276.0,,384,12392,493761,1296,0.0250972,0.017393000000000002,2009-06-11,8736.230469,8877.929688,8736.230469,8770.919922,8770.919922,249900000
23,2008-09,2009,24,2623,4740,,3084.0,,333,10780,521701,1280,0.0206632,0.018300099999999996,2009-06-18,8496.730469,8590.519531,8475.120117,8555.599609,8555.599609,220050000
24,2008-09,2009,25,2299,3700,,2476.0,,326,8801,512268,1279,0.0171805,0.0158128,2009-06-25,8299.25,8490.459961,8259.429688,8472.400391,8472.400391,222540000
25,2008-09,2009,26,2145,2893,,2023.0,,361,7422,475877,1237,0.015596500000000001,0.0149172,2009-07-02,8503.0,8503.230469,8280.740234,8280.740234,8280.740234,157800000
26,2008-09,2009,27,1701,2481,,1815.0,,293,6290,480680,1246,0.0130856,0.013890000000000001,2009-07-09,8179.009765999999,8228.669922,8145.310059,8183.169922,8183.169922,192660000
27,2008-09,2009,28,1581,2437,,1708.0,,238,5964,502466,1248,0.0118695,0.0134702,2009-07-16,8612.660156,8739.549805,8584.400391,8711.820313,8711.820313,216580000
28,2008-09,2009,29,1608,2285,,1611.0,,231,5735,503971,1248,0.0113796,0.011605599999999999,2009-07-23,8882.30957,9096.719727,8866.44043,9069.290039,9069.290039,274760000
29,2008-09,2009,30,1519,2199,,1575.0,,294,5587,485804,1254,0.0115005,0.012085,2009-07-30,9072.839844,9246.429688,9072.610352,9154.459961,9154.459961,232410000
30,2008-09,2009,31,1651,2082,,1530.0,,263,5526,496666,1230,0.0111262,0.0115544,2009-08-06,9277.19043,9325.110352,9208.799805,9256.259766,9256.259766,244450000
31,2008-09,2009,32,1645,2321,,1646.0,,265,5877,506019,1234,0.011614200000000002,0.011451799999999998,2009-08-13,9362.290039,9406.5,9305.30957,9398.19043,9398.19043,145620000
32,2008-09,2009,33,2167,4210,,2168.0,,396,8941,544827,1286,0.0164107,0.014663999999999998,2009-08-20,9278.549805,9363.950195,9267.969727,9350.049805,9350.049805,151740000
33,2008-09,2009,34,2883,8253,,2977.0,,443,14556,588916,1320,0.0247166,0.0238017,2009-08-27,9541.629883,9609.719727,9459.400391,9580.629883,9580.629883,163980000
34,2009-10,2009,35,3713,13114,,3982.0,,541,21350,573972,1358,0.0371969,0.0344681,2009-09-03,9282.030273,9350.269531,9252.929688,9344.610352,9344.610352,168750000
35,2009-10,2009,36,4087,13407,,4547.0,,520,22561,571201,1367,0.039497500000000005,0.0405315,2009-09-10,9546.540039,9633.0,9508.219727,9627.480469,9627.480469,234130000
36,2009-10,2009,37,4445,15326,,5668.0,,652,26091,638302,1380,0.0408756,0.0426621,2009-09-17,9789.820313,9854.580078,9749.459961,9783.919922,9783.919922,225470000
37,2009-10,2009,38,4462,14152,,5252.0,,588,24454,608464,1313,0.0401897,0.0421579,2009-09-24,9749.990234,9805.389648,9666.030273,9707.44043,9707.44043,201890000
38,2009-10,2009,39,4974,16291,,6090.0,,564,27919,606458,1331,0.0460362,0.048861,2009-10-01,9711.599609,9711.669922,9500.370117,9509.280273,9509.280273,266990000
39,2009-10,2009,40,9302,27406,8554.0,,,903,48420,855346,2056,0.0566087,0.0606923,2009-10-08,9728.219727,9836.669922,9728.070313,9786.870117,9786.870117,209580000
