,Date,fips,cases,deaths,High,Low,Open,Close,Volume,Adj Close
55,2020-04-08,1762,429316,14803,8114.43017578125,7901.93994140625,7975.72021484375,8090.89990234375,3470730000,8090.89990234375
56,2020-04-09,1762,463684,16673,8227.91015625,8072.31982421875,8169.009765625,8153.580078125,4123670000,8153.580078125
57,2020-04-13,1762,580853,23606,8200.4404296875,8035.9501953125,8127.68994140625,8192.419921875,3146860000,8192.419921875
58,2020-04-14,1762,607285,26080,8531.1103515625,8338.080078125,8353.2099609375,8515.740234375,3732820000,8515.740234375
59,2020-04-15,1762,637056,28582,8464.66015625,8308.7900390625,8355.9599609375,8393.1796875,3333750000,8393.1796875
60,2020-04-16,1762,668533,30723,8560.16015625,8393.26953125,8479.1103515625,8532.3603515625,3995870000,8532.3603515625
61,2020-04-17,1762,699853,32910,8670.2998046875,8531.6904296875,8667.48046875,8650.1396484375,4335020000,8650.1396484375
62,2020-04-20,1762,780449,37795,8684.91015625,8553.3798828125,8553.3798828125,8560.73046875,3796950000,8560.73046875
63,2020-04-21,1762,805771,40316,8480.2900390625,8215.6904296875,8460.6904296875,8263.23046875,3756290000,8263.23046875
64,2020-04-22,1762,834338,42495,8537.3095703125,8404.5400390625,8434.5498046875,8495.3798828125,3025060000,8495.3798828125
65,2020-04-23,1762,868019,44516,8635.23046875,8475.2001953125,8528.83984375,8494.75,3734720000,8494.75
66,2020-04-24,1762,904604,46503,8642.9296875,8464.419921875,8530.080078125,8634.51953125,3673170000,8634.51953125
