,Date,value,Open,High,Low,Close,Adj Close,Volume
0,2014-10-03,1.0,16802.199219,17027.839844,16802.199219,17009.689453,17009.689453,87940000
1,2014-10-08,1.0,16718.650391,17006.910156,16663.259766,16994.220703,16994.220703,106930000
2,2014-10-10,1.0,16654.880859,16757.599609,16543.910156,16544.099609,16544.099609,136370000
3,2014-10-15,2.0,16313.299805,16313.299805,15855.120116999999,16141.740234,16141.740234,160380000
4,2014-10-17,3.0,16118.389647999998,16427.380859,16118.389647999998,16380.410156,16380.410156,137910000
5,2014-10-22,3.0,16615.259766,16653.890625,16459.849609,16461.320313,16461.320313,92050000
6,2014-10-29,4.0,17005.070313,17065.5,16895.380859,16974.310547,16974.310547,76450000
7,2014-10-31,4.0,17208.779297,17395.539063,17208.779297,17390.519531,17390.519531,121610000
8,2014-11-05,4.0,17385.759766,17486.589844,17385.759766,17484.529297,17484.529297,76030000
9,2014-11-07,4.0,17558.580078,17575.330078,17493.369141,17573.929688,17573.929688,82860000
10,2014-11-12,4.0,17604.75,17626.710938,17536.169922,17612.199219,17612.199219,75980000
11,2014-11-14,4.0,17653.109375,17664.150391,17613.199219,17634.740234,17634.740234,72850000
12,2014-11-19,4.0,17685.509766,17712.259766,17624.5,17685.730469,17685.730469,73780000
13,2014-11-21,4.0,17721.019531,17894.830078,17721.019531,17810.060547,17810.060547,140940000
14,2014-11-26,4.0,17812.25,17833.759766,17791.160156,17827.75,17827.75,67450000
15,2014-12-01,4.0,17827.269531,17827.269531,17726.550781,17776.800781,17776.800781,86390000
16,2014-12-03,4.0,17880.900391,17924.150391,17855.589844,17912.619141,17912.619141,99400000
17,2014-12-10,4.0,17797.990234,17797.990234,17508.099609,17533.150391,17533.150391,115100000
18,2014-12-15,4.0,17285.740234,17403.539063,17115.279297,17180.839844,17180.839844,114050000
19,2014-12-17,4.0,17069.160156,17389.300781,17069.160156,17356.869141,17356.869141,118220000
20,2014-12-22,4.0,17812.25,17962.779297,17812.25,17959.439453,17959.439453,98460000
21,2014-12-23,4.0,17971.509766,18069.220703,17970.160156,18024.169922,18024.169922,82890000
22,2014-12-24,4.0,18035.730469,18086.240234,18027.779297,18030.210938,18030.210938,42870000
23,2014-12-26,4.0,18038.300781,18103.449219,18038.300781,18053.710938,18053.710938,52570000
24,2014-12-29,4.0,18046.580078,18073.039063,18021.570313,18038.230469,18038.230469,53870000
25,2014-12-30,4.0,18035.019531,18035.019531,17959.699219,17983.070313,17983.070313,47490000
26,2014-12-31,4.0,17987.660156,18043.220703,17820.880859,17823.070313,17823.070313,82840000
27,2015-01-02,4.0,17823.070313,17951.779297,17731.300781,17832.990234,17832.990234,76270000
28,2015-01-05,4.0,17821.300781,17821.300781,17475.929688,17501.650391,17501.650391,116160000
29,2015-01-06,4.0,17504.179688,17581.050781,17262.369141,17371.640625,17371.640625,101870000
30,2015-01-07,4.0,17374.779297,17597.080078,17374.779297,17584.519531,17584.519531,91030000
31,2015-01-14,4.0,17609.060547,17609.060547,17264.900391,17427.089844,17427.089844,109180000
32,2015-01-15,4.0,17436.300781,17517.410156,17298.039063,17320.710938,17320.710938,94520000
33,2015-01-16,4.0,17320.0,17528.369141,17243.550781,17511.570313,17511.570313,140480000
34,2015-01-20,4.0,17516.960938,17588.699219,17346.730469,17515.230469,17515.230469,119600000
35,2015-01-21,4.0,17509.960938,17599.580078,17396.039063,17554.279297,17554.279297,95530000
36,2015-01-22,4.0,17557.289063,17840.890625,17482.539063,17813.980469,17813.980469,111980000
37,2015-01-23,4.0,17812.5,17812.5,17667.529297,17672.599609,17672.599609,97110000
38,2015-01-26,4.0,17668.109375,17696.359375,17567.599609,17678.699219,17678.699219,87220000
39,2015-01-27,4.0,17638.529297,17638.529297,17288.310547,17387.210938,17387.210938,135940000
40,2015-01-28,4.0,17402.910156,17484.410156,17189.0,17191.369141,17191.369141,115980000
41,2015-01-29,4.0,17195.289063,17433.130859,17136.300781,17416.849609,17416.849609,111690000
42,2015-01-30,4.0,17416.849609,17419.900391,17156.820313,17164.949219,17164.949219,168560000
43,2015-02-02,4.0,17169.990234,17367.679688,17037.759766,17361.039063,17361.039063,108090000
44,2015-02-03,4.0,17369.970703,17670.759766,17369.970703,17666.400391,17666.400391,112860000
45,2015-02-04,4.0,17664.990234,17782.220703,17603.210938,17673.019531,17673.019531,102560000
46,2015-02-05,4.0,17677.259766,17889.580078,17677.259766,17884.880859,17884.880859,79890000
47,2015-02-06,4.0,17881.539063,17951.089844,17764.400391,17824.289063,17824.289063,93610000
48,2015-02-10,4.0,17736.150391,17890.339844,17729.240234,17868.759766,17868.759766,89930000
49,2015-02-11,4.0,17867.859375,17897.210938,17759.650391,17862.140625,17862.140625,89890000
50,2015-02-12,4.0,17862.140625,17975.650391,17862.140625,17972.380859,17972.380859,117160000
51,2015-02-13,4.0,17968.650391,18037.410156,17961.759766,18019.349609,18019.349609,85230000
52,2015-02-17,4.0,18019.800781,18052.009766,17951.410156,18047.580078,18047.580078,98760000
53,2015-02-18,4.0,18045.720703,18048.699219,17982.199219,18029.849609,18029.849609,75090000
54,2015-02-19,4.0,18028.669922,18028.669922,17924.599609,17985.769531,17985.769531,79130000
55,2015-02-20,4.0,17985.769531,18144.289063,17878.369141,18140.439453,18140.439453,111390000
56,2015-02-23,4.0,18140.759766,18141.210938,18054.839844,18116.839844,18116.839844,83670000
57,2015-02-25,4.0,18208.669922,18244.380859,18182.759766,18224.570313,18224.570313,80480000
58,2015-02-26,4.0,18224.410156,18239.429688,18157.070313,18214.419922,18214.419922,81500000
59,2015-02-27,4.0,18213.259766,18213.259766,18132.380859,18132.699219,18132.699219,101110000
60,2015-03-02,4.0,18134.050781,18288.630859,18122.589844,18288.630859,18288.630859,89790000
61,2015-03-04,4.0,18203.369141,18203.369141,18029.5,18096.900391,18096.900391,80900000
62,2015-03-05,4.0,18096.900391,18160.349609,18087.650391,18135.720703,18135.720703,75840000
63,2015-03-06,4.0,18135.720703,18135.720703,17825.150391,17856.779297,17856.779297,113350000
64,2015-03-10,4.0,17989.560547,17989.560547,17662.939453,17662.939453,17662.939453,120450000
65,2015-03-11,4.0,17662.939453,17731.779297,17627.0,17635.390625,17635.390625,102120000
66,2015-03-12,4.0,17626.839844,17900.099609,17620.490234,17895.220703,17895.220703,111550000
67,2015-03-13,4.0,17889.050781,17889.050781,17629.890625,17749.310547,17749.310547,113620000
68,2015-03-16,4.0,17751.240234,17988.5,17751.240234,17977.419922,17977.419922,101760000
69,2015-03-17,4.0,17972.220703,17972.220703,17785.789063,17849.080078,17849.080078,82560000
70,2015-03-18,4.0,17846.800781,18097.119141,17697.519531,18076.189453,18076.189453,130950000
71,2015-03-20,4.0,17961.130859,18197.289063,17961.130859,18127.650391,18127.650391,333870000
72,2015-03-23,4.0,18136.730469,18205.929688,18116.039063,18116.039063,18116.039063,98030000
73,2015-03-24,4.0,18110.869141,18149.240234,18010.439453,18011.140625,18011.140625,87190000
74,2015-03-25,4.0,18012.609375,18041.970703,17718.539063,17718.539063,17718.539063,106560000
75,2015-03-26,4.0,17716.269531,17759.509766,17579.269531,17678.230469,17678.230469,117740000
76,2015-03-27,4.0,17673.630859,17729.140625,17630.490234,17712.660156,17712.660156,103220000
77,2015-04-07,4.0,17884.320313,17983.119141,17871.210938,17875.419922,17875.419922,72150000
78,2015-04-09,4.0,17902.509766,17984.220703,17823.099609,17958.730469,17958.730469,86740000
79,2015-04-13,4.0,18052.320313,18107.570313,17974.810547,17977.039063,17977.039063,120090000
80,2015-04-14,4.0,17979.109375,18075.599609,17905.480469,18036.699219,18036.699219,82830000
81,2015-04-15,4.0,18045.710938,18160.519531,18045.710938,18112.609375,18112.609375,113610000
82,2015-04-16,4.0,18106.269531,18169.259766,18063.859375,18105.769531,18105.769531,89520000
83,2015-04-17,4.0,18102.560547,18102.560547,17748.529297,17826.300781,17826.300781,138860000
84,2015-04-20,4.0,17841.179688,18092.220703,17841.179688,18034.929688,18034.929688,103160000
85,2015-04-21,4.0,18034.230469,18109.699219,17929.630859,17949.589844,17949.589844,95180000
86,2015-04-22,4.0,17950.820313,18056.019531,17887.759766,18038.269531,18038.269531,91260000
87,2015-04-23,4.0,18031.900391,18133.029297,17966.769531,18058.689453,18058.689453,100240000
88,2015-04-24,4.0,18056.419922,18108.869141,18009.080078,18080.140625,18080.140625,119130000
89,2015-04-27,4.0,18097.890625,18175.560547,18024.660156,18037.970703,18037.970703,121110000
90,2015-04-28,4.0,18035.900391,18119.650391,17917.359375,18110.140625,18110.140625,124930000
91,2015-04-30,4.0,18033.330078,18033.330078,17774.890625,17840.519531,17840.519531,129180000
92,2015-05-01,4.0,17859.269531,18028.890625,17859.269531,18024.060547,18024.060547,91700000
93,2015-05-04,4.0,18026.019531,18133.759766,18026.019531,18070.400391,18070.400391,86010000
94,2015-05-05,4.0,18062.529297,18086.009766,17905.710938,17928.199219,17928.199219,95340000
95,2015-05-06,4.0,17934.810547,18019.75,17733.119141,17841.980469,17841.980469,100430000
96,2015-05-07,4.0,17840.25,17973.070313,17796.939453,17924.060547,17924.060547,80920000
97,2015-05-08,4.0,17933.640625,18205.230469,17933.640625,18191.109375,18191.109375,94960000
98,2015-05-11,4.0,18187.779297,18199.949219,18089.109375,18105.169922,18105.169922,86050000
99,2015-05-12,4.0,18096.160156,18119.179688,17924.800781,18068.230469,18068.230469,89270000
100,2015-05-13,4.0,18070.369141,18132.789063,18039.199219,18060.490234,18060.490234,85180000
101,2015-05-14,4.0,18062.490234,18255.210938,18062.490234,18252.240234,18252.240234,91580000
102,2015-05-15,4.0,18251.970703,18272.720703,18215.070313,18272.560547,18272.560547,108220000
103,2015-05-18,4.0,18267.25,18325.539063,18244.259766,18298.880859,18298.880859,79080000
104,2015-05-19,4.0,18300.480469,18351.359375,18261.349609,18312.390625,18312.390625,87200000
105,2015-05-20,4.0,18315.060547,18350.130859,18272.560547,18285.400391,18285.400391,80190000
106,2015-05-21,4.0,18285.869141,18314.890625,18249.900391,18285.740234,18285.740234,84270000
107,2015-05-22,4.0,18286.869141,18286.869141,18217.140625,18232.019531,18232.019531,78890000
108,2015-05-26,4.0,18229.75,18229.75,17990.019531,18041.539063,18041.539063,109440000
109,2015-05-27,4.0,18045.080078,18190.349609,18045.080078,18162.990234,18162.990234,96400000
110,2015-05-28,4.0,18154.140625,18154.140625,18066.400391,18126.119141,18126.119141,67510000
111,2015-05-29,4.0,18128.119141,18128.119141,17967.740234,18010.679688,18010.679688,139810000
112,2015-06-01,4.0,18017.820313,18105.830078,17982.060547,18040.369141,18040.369141,85640000
113,2015-06-02,4.0,18033.330078,18091.869141,17925.330078,18011.939453,18011.939453,77550000
